Year,Player,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank,Height (inches),Weight,Height ft2,Height in2,Hometown,Home state,"town, state",Birth Zip Code,College,College Wins (1999-2013),College Losses (1999-2013),Conference,DOB,Draft Round,Draft Year,Wonderlic,40 Yard,Ten Yd,Arms,Hands,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
1999,Troy Smith,PHI,22,1,0,0,0,0,0,0,0,0,,0,1,14,14,0,WR,1,,141,,74,193,6,1,Greenville,NC,"Greenville, NC",27833,East Carolina,97,90,American,7/30/1977,6,1999,0,4.64,0,0,0,35.5,35.5,113,4.24,7.25
1999,Carlester Crumpler,MIN,28,11,1,0,0,0,0,0,0,0,,0,2,35,17.5,1,TE,10,,60,,78,260,#N/A,#N/A,Greenville,NC,"Greenville, NC",27833,East Carolina,97,90,American,9/5/1971,7,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Terrance Copper,KAN,30,15,0,0,0,0,0,0,1,1,1,0,8,79,9.88,0,WR,8,,145,,73,204,6,1,Washington,NC,"Washington, NC",27889,East Carolina,97,90,American,7/22/2000,0,0,0,4.53,0,0,0,0,35.5,116,4.33,7.36
2008,Aundrae Allison,MIN,22,15,0,0,0,0,0,0,1,1,1,0,10,109,10.9,0,WR,11,,124,,73,198,6,1,Kannapolis,NC,"Kannapolis, NC",28081,East Carolina,97,90,American,4/20/1986,5,2007,0,4.39,1.43,31.5,9,0,37,127,0,0
2004,Leonard Henry,MIA,26,6,2,0,0,0,0,0,46,141,3.07,0,3,12,4,0,RB,15,,93,,73,210,6,1,Clinton,NC,"Clinton, NC",28328,East Carolina,97,90,American,1/5/1978,7,2002,0,4.57,0,0,0,26,35,113,4.29,7.11
2012,Vonta Leach,BAL,31,16,13,0,0,0,0,0,9,32,3.56,1,21,143,6.81,0,RB,24,,96,,73,246,#N/A,#N/A,Lumberton,NC,"Lumberton, NC",28358,East Carolina,97,90,American,9/2/2000,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Dwayne Harris,DAL,25,16,0,0,0,0,0,0,0,0,,0,17,222,13.06,1,WR,30,,107,,70,200,5,10,Atlanta,GA,"Atlanta, GA",30301,East Carolina,97,90,American,7/18/2000,6,2011,0,4.53,0,31.125,10.125,10,34,111,4.21,6.77
2005,Jeff Blake,CHI,35,3,0,8,9,55,1,0,1,-1,-1,0,0,0,,0,QB,6,,66,,73,0,#N/A,#N/A,Daytona Beach,FL,"Daytona Beach, FL",32114,East Carolina,97,90,American,12/4/1970,6,1992,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Larry Shannon,MIA,24,2,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,156,,76,215,#N/A,#N/A,Gainesville,FL,"Gainesville, FL",32601,East Carolina,97,90,American,2/2/1975,3,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Chris Johnson,TEN,27,16,15,0,0,0,0,0,276,1243,4.5,6,36,232,6.44,0,RB,176,59,13,28,71,195,5,11,Orlando,FL,"Orlando, FL",32801,East Carolina,97,90,American,7/13/2000,1,2008,10,4.24,0,0,0,0,35,0,0,0
2005,Antowain Smith,NOR,33,16,7,0,0,0,0,0,166,659,3.97,3,12,46,3.83,0,RB,89,,40,,74,232,#N/A,#N/A,Millbrook,AL,"Millbrook, AL",36054,Houston,98,88,American,3/14/1972,1,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Biren Ealy,GNB,25,1,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,157,,75,207,#N/A,#N/A,Clarksville,TN,"Clarksville, TN",37040,Houston,98,88,American,7/7/1984,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Lamar Smith,NOR,33,4,0,0,0,0,0,0,11,61,5.55,0,1,2,2,0,RB,6,,116,,71,230,#N/A,#N/A,Fort Wayne,IN,"Fort Wayne, IN",46801,Houston,98,88,American,11/29/1970,3,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Case Keenum,HOU,25,8,8,137,253,1760,9,6,14,72,5.14,1,0,0,,0,QB,104,,35,,74,209,#N/A,#N/A,Brownwood,TX,"Brownwood, TX",76801,Houston,98,88,American,2/17/1988,0,0,0,4.72,0,30.875,9.125,0,32.5,103,0,0
2007,Brandon Middleton,DET,26,5,0,0,0,0,0,0,0,0,,0,8,70,8.75,1,WR,13,,123,,12,190,#N/A,#N/A,Houston,TX,"Houston, TX",77001,Houston,98,88,American,1/2/1981,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Mike Green,TEN,26,15,2,0,0,0,0,0,21,71,3.38,0,7,57,8.14,1,RB,19,,86,,73,249,6,1,Houston,TX,"Houston, TX",77001,Houston,98,88,American,9/2/1976,7,2000,0,4.78,0,0,0,28.5,28.5,108,4.34,7.08
2012,Jackie Battle,SDG,29,16,5,0,0,0,0,0,95,311,3.27,3,15,108,7.2,1,RB,66,,49,,74,238,#N/A,#N/A,Houston,TX,"Houston, TX",77001,Houston,98,88,American,8/25/2000,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Donnie Avery,IND,28,16,15,0,0,0,0,0,4,9,2.25,0,60,781,13.02,3,TE,97,,12,75,71,186,5,11,Houston,TX,"Houston, TX",77001,Houston,98,88,American,7/4/2000,2,2008,0,4.43,1.5,30.25,9.75,16,0,0,0,0
2003,Joffrey Reynolds,STL,24,4,0,0,0,0,0,0,0,0,,0,0,0,,0,RB,,,169,,70,221,#N/A,#N/A,Houston,TX,"Houston, TX",77001,Houston,98,88,American,11/26/1979,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Kimble Anders,KAN,34,15,7,0,0,0,0,0,76,331,4.36,2,15,76,5.07,0,RB,53,,50,,71,225,#N/A,#N/A,Galveston,TX,"Galveston, TX",77550,Houston,98,88,American,9/10/1966,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Kevin Kolb,ARI,28,6,5,109,183,1169,8,3,16,100,6.25,1,0,0,,0,QB,85,,34,,75,0,6,3,Victoria,TX,"Victoria, TX",77901,Houston,98,88,American,1/0/00,2,2007,0,4.85,0,0,0,0,32.5,112,4.44,6.94
2013,Patrick Edwards,DET,25,4,2,0,0,0,0,0,0,0,,0,5,46,9.2,0,WR,5,,171,,69,175,#N/A,#N/A,0,,"0, ",#N/A,Houston,98,88,American,1/0/00,0,0,0,4.58,1.58,29.625,8.375,0,0,0,0,0
2012,Brandon Marshall,CHI,28,16,16,0,0,0,0,0,1,-2,-2,0,118,1508,12.78,11,WR,217,98,2,8,76,229,6,1,Pittsburgh,PA,"Pittsburgh, PA",15201,Central Florida,99,86,American,8/16/2000,4,2006,0,4.72,0,0,0,28,30.5,108,4.09,7.05
2012,Bruce Miller,SFO,25,16,13,0,0,0,0,0,5,18,3.6,0,12,84,7,0,RB,10,,124,,73,254,6,1,Canton,GA,"Canton, GA",30114,Central Florida,99,86,American,9/10/2000,7,2011,0,4.81,0,30.25,9,35,31,113,4.34,7.05
2003,Shawn Jefferson,DET,34,7,3,0,0,0,0,0,1,3,3,0,6,46,7.67,0,WR,5,,135,,71,185,#N/A,#N/A,Jacksonville,FL,"Jacksonville, FL",32099,Central Florida,99,86,American,2/22/1969,9,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Alex Haynes,CAR,25,10,0,0,0,0,0,0,3,3,1,0,3,14,4.67,0,RB,2,,129,,12,223,5,10,Tallahassee,FL,"Tallahassee, FL",32301,Central Florida,99,86,American,2/13/1982,0,0,0,4.51,0,0,0,21,32.5,0,0,0
2008,Michael Gaines,DET,28,16,6,0,0,0,0,0,0,0,,0,23,260,11.3,1,TE,32,,34,,75,280,6,2,Tallahassee,FL,"Tallahassee, FL",32301,Central Florida,99,86,American,3/30/1980,7,2004,0,5.06,0,0,0,18,33,109,4.2,7.46
2003,Kenny Clark,MIN,25,1,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,174,,73,217,#N/A,#N/A,Gainesville,FL,"Gainesville, FL",32601,Central Florida,99,86,American,5/14/1978,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Mike Sims-Walker,JAX,26,14,13,0,0,0,0,0,0,0,,0,43,562,13.07,7,WR,98,,44,,74,197,#N/A,#N/A,Orlando,FL,"Orlando, FL",32801,Central Florida,99,86,American,11/21/1984,3,2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Kamar Aiken,NWE,23,1,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,198,,74,213,#N/A,#N/A,Hollywood,FL,"Hollywood, FL",33019,Central Florida,99,86,American,7/31/2000,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Charles Lee,ARI,28,6,0,0,0,0,0,0,0,0,,0,11,152,13.82,0,WR,15,,116,,75,227,6,2,Miami,FL,"Miami, FL",33101,Central Florida,99,86,American,11/19/1977,7,2000,0,4.56,1.57,0,0,0,35.5,125,4.25,7.3
2012,Kevin Smith,DET,26,13,2,0,0,0,0,0,37,134,3.62,1,10,79,7.9,1,RB,33,,80,,73,210,6,1,Miami,FL,"Miami, FL",33101,Central Florida,99,86,American,7/28/2000,3,2008,0,4.53,0,0,0,0,32,120,4.49,6.74
2006,Doug Gabriel,2TM,26,15,5,0,0,0,0,0,0,0,,0,30,428,14.27,3,WR,61,,69,,74,215,6,2,Miami,FL,"Miami, FL",33101,Central Florida,99,86,American,8/27/1980,5,2003,0,4.52,0,0,0,0,35.5,116,4.16,7.05
2009,Daunte Culpepper,DET,32,8,5,89,157,945,3,6,18,91,5.06,0,0,0,,0,QB,47,,37,,76,0,6,4,Ocala,FL,"Ocala, FL",34470,Central Florida,99,86,American,1/28/1977,1,1999,18,4.52,0,0,0,0,39,122,4.13,7.21
2012,Jamar Newsome,KAN,25,6,2,0,0,0,0,0,0,0,,0,5,73,14.6,0,WR,7,,148,,73,200,#N/A,#N/A,St. Petersburg,FL,"St. Petersburg, FL",#N/A,Central Florida,99,86,American,7/18/2000,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Darcy Johnson,STL,27,4,2,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,106,,77,252,#N/A,#N/A,St. Augustine,FL,"St. Augustine, FL",#N/A,Central Florida,99,86,American,2/11/1983,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Adrien Robinson,NYG,23,2,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,115,,76,264,#N/A,#N/A,Harrisburg,PA,"Harrisburg, PA",17101,Cincinnati,114,74,American,9/20/2000,4,2012,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Kenbrell Thompkins,NWE,25,12,8,0,0,0,0,0,0,0,,0,32,466,14.56,4,WR,71,,64,,73,196,#N/A,#N/A,Miami,FL,"Miami, FL",33101,Cincinnati,114,74,American,1/0/00,0,0,0,4.54,1.54,32.25,8.75,8,33.5,121,4.21,6.88
2000,Chad Plummer,IND,25,3,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,166,,75,223,6,3,Delray Beach,FL,"Delray Beach, FL",33444,Cincinnati,114,74,American,11/30/1975,0,1999,0,4.57,0,0,0,33,33,113,4.18,7.34
2006,Antonio Chatman,CIN,27,3,0,0,0,0,0,0,0,0,,0,3,22,7.33,0,WR,2,,150,,69,177,#N/A,#N/A,Jackson,AL,"Jackson, AL",36501,Cincinnati,114,74,American,2/12/1979,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Isaiah Pead,STL,23,15,1,0,0,0,0,0,10,54,5.4,0,3,16,5.33,0,RB,5,,135,,70,197,#N/A,#N/A,Columbus,OH,"Columbus, OH",43085,Cincinnati,114,74,American,7/15/2000,2,2012,0,4.39,0,31,8.625,0,33,116,4.32,6.95
2013,Jeff Linkenbach,IND,26,12,5,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,124,,78,303,#N/A,#N/A,Sandusky,OH,"Sandusky, OH",44870,Cincinnati,114,74,American,6/9/1987,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Tony Pike,CAR,24,1,0,6,12,47,0,0,0,0,,0,0,0,,0,QB,2,,67,,77,212,6,6,Cincinnati,OH,"Cincinnati, OH",45201,Cincinnati,114,74,American,3/10/1986,6,2010,0,4.9,0,34.5,10,0,28.5,108,4.53,7.06
2012,Brent Celek,PHI,27,15,14,0,0,0,0,0,0,0,,0,57,684,12,1,TE,72,,21,,76,261,#N/A,#N/A,Cincinnati,OH,"Cincinnati, OH",45201,Cincinnati,114,74,American,9/17/2000,5,2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001,Rodrick Monroe,CLE,26,7,3,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,92,,77,254,#N/A,#N/A,Hearne,TX,"Hearne, TX",77859,Cincinnati,114,74,American,7/30/1975,7,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Mardy Gilyard,STL,24,11,2,0,0,0,0,0,0,0,,0,6,63,10.5,0,WR,6,,149,,73,187,#N/A,#N/A,Burnell,FL,"Burnell, FL",#N/A,Cincinnati,114,74,American,12/2/1986,4,2010,0,4.61,0,32.25,9.125,0,39,116,4.4,6.92
2004,Jasen Isom,SFO,27,5,1,0,0,0,0,0,1,0,0,0,1,1,1,0,RB,,,156,,73,243,#N/A,#N/A,Wheatley Heights,NY,"Wheatley Heights, NY",#N/A,Cincinnati,114,74,American,1/7/1977,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Leonard Stephens,WAS,24,5,0,0,0,0,0,0,0,0,,0,1,13,13,0,TE,1,,82,,75,249,#N/A,#N/A,Miami,FL,"Miami, FL",33101,Howard,#N/A,#N/A,American,7/9/1978,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Mike Leach,ARI,34,16,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,104,,74,245,#N/A,#N/A,Dover,NJ,"Dover, NJ",7801,Boston Univ.,#N/A,#N/A,Atlantic 10,10/18/1976,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001,Phil McGeoghan,DEN,22,2,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,155,,74,224,#N/A,#N/A,Freding Hills,MA,"Freding Hills, MA",#N/A,Boston Univ.,#N/A,#N/A,Atlantic 10,7/8/1979,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Kerry Meier,ATL,25,12,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,202,,74,219,6,2,Pittsburg,KS,"Pittsburg, KS",66762,Kansas,71,109,Big 12,11/12/1986,5,0,0,4.62,0,32,9.375,13,35,115,4.23,0
2009,Derek Fine,BUF,26,8,6,0,0,0,0,0,0,0,,0,9,64,7.11,0,TE,6,,71,,74,250,6,3,Sallisaw,OK,"Sallisaw, OK",74955,Kansas,71,109,Big 12,8/24/1983,4,2008,0,4.83,0,0,0,24,29,115,4.19,6.8
2012,Dezmon Briscoe,WAS,23,7,0,0,0,0,0,0,1,1,1,0,2,22,11,0,WR,2,,176,,75,200,#N/A,#N/A,Dallas,TX,"Dallas, TX",75201,Kansas,71,109,Big 12,7/18/2000,6,2010,0,4.66,0,33.5,9.5,9,33,115,4.57,7.1
2002,Sean McDermott,HOU,26,16,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,94,,76,250,#N/A,#N/A,Lufkin,TX,"Lufkin, TX",75901,Kansas,71,109,Big 12,12/5/1976,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Moran Norris,SFO,33,5,2,0,0,0,0,0,0,0,,0,0,0,,0,RB,,,158,,73,250,6,1,Houston,TX,"Houston, TX",77001,Kansas,71,109,Big 12,6/16/1978,4,2001,0,4.63,0,0,0,37,31,114,4.5,7.56
2008,Brandon Rideau,CHI,26,2,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,166,,75,198,#N/A,#N/A,Beaumont,TX,"Beaumont, TX",77701,Kansas,71,109,Big 12,10/18/1982,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Isaac Byrd,CAR,28,13,3,0,0,0,0,0,1,0,0,0,14,164,11.71,1,WR,22,,106,,73,188,#N/A,#N/A,St. Louis,MO,"St. Louis, MO",63101,Kansas,71,109,Big 12,11/16/1974,6,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Troy Davis,NOR,24,16,2,0,0,0,0,0,20,32,1.6,0,7,53,7.57,0,RB,9,,112,,67,191,#N/A,#N/A,Miami,FL,"Miami, FL",33101,Iowa St.,79,105,Big 12,9/14/1975,3,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Mike Banks,ARI,24,6,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,122,,76,262,6,4,Mason City,IA,"Mason City, IA",50401,Iowa St.,79,105,Big 12,11/5/1979,7,2002,0,4.84,0,0,0,31.5,31.5,104,0,0
2005,J.J. Moses,ARI,26,2,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,160,,66,178,#N/A,#N/A,Waterloo,IA,"Waterloo, IA",50701,Iowa St.,79,105,Big 12,9/12/1979,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Sage Rosenfels,NYG,32,12,0,0,0,0,0,0,3,-3,-1,0,0,0,,0,QB,,,77,,76,0,6,5,Maquoketa,IA,"Maquoketa, IA",52060,Iowa St.,79,105,Big 12,3/6/1978,4,2001,32,4.74,0,0,0,0,34,107,4.29,7.07
2011,Collin Franklin,TAM,23,2,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,101,,75,195,#N/A,#N/A,Los Angeles,CA,"Los Angeles, CA",90001,Iowa St.,79,105,Big 12,7/28/1988,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Dantrell Savage,KAN,24,5,0,0,0,0,0,0,10,45,4.5,0,7,51,7.29,0,RB,10,,105,,68,187,5,8,Columbus,GA,"Columbus, GA",31901,Oklahoma St.,113,73,Big 12,2/15/1985,0,0,0,4.53,0,0,0,13,32.5,117,0,0
2007,Vernand Morency,GNB,27,13,0,0,0,0,0,0,29,108,3.72,0,30,199,6.63,0,RB,31,,72,,69,212,5,10,Miami,FL,"Miami, FL",33101,Oklahoma St.,113,73,Big 12,2/4/1980,3,2005,0,4.51,0,0,0,19,33.5,0,4.2,7.02
2013,Joseph Randle,DAL,22,13,2,0,0,0,0,0,54,164,3.04,2,8,61,7.63,0,RB,35,,75,,73,204,#N/A,#N/A,Wichita,KS,"Wichita, KS",67201,Oklahoma St.,113,73,Big 12,1/0/00,5,2013,0,4.63,1.61,31.75,8.75,0,35,123,0,0
2000,Alonzo Mayes,CHI,25,5,3,0,0,0,0,0,0,0,,0,4,40,10,0,TE,4,,66,,76,259,#N/A,#N/A,Oklahoma City,OK,"Oklahoma City, OK",73101,Oklahoma St.,113,73,Big 12,6/4/1975,0,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Billy Bajema,BAL,30,8,1,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,106,,77,261,6,5,Oklahoma City,OK,"Oklahoma City, OK",73101,Oklahoma St.,113,73,Big 12,9/17/2000,7,2005,0,4.74,0,0,0,16,31.5,113,4.3,7.05
2007,Marcellus Rivers,NWE,29,3,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,,111,,76,250,6,5,Oklahoma City,OK,"Oklahoma City, OK",73101,Oklahoma St.,113,73,Big 12,10/26/1978,0,0,0,4.84,0,0,0,7,32.5,113,4.25,7.04
2008,Tatum Bell,DEN,27,7,3,0,0,0,0,0,44,249,5.66,2,10,57,5.7,0,RB,43,,71,,71,190,5,11,Dallas,TX,"Dallas, TX",75201,Oklahoma St.,113,73,Big 12,3/2/1981,2,2004,0,4.37,0,0,0,25,38.5,117,0,0
2012,Kendall Hunter,SFO,24,11,0,0,0,0,0,0,72,371,5.15,2,9,60,6.67,0,RB,53,,61,,67,199,#N/A,#N/A,Tyler,TX,"Tyler, TX",75701,Oklahoma St.,113,73,Big 12,7/17/2000,4,2011,0,4.46,0,31,8.75,24,35,122,4.21,6.74
2012,Brandon Pettigrew,DET,27,14,11,0,0,0,0,0,0,0,,0,59,567,9.61,3,TE,71,,22,,77,257,6,6,Tyler,TX,"Tyler, TX",75701,Oklahoma St.,113,73,Big 12,9/13/2000,1,2009,0,4.8,0,0,0,22,33,118,4.37,7.12
2012,Dez Bryant,DAL,24,16,14,0,0,0,0,0,2,-5,-2.5,0,92,1382,15.02,12,WR,208,89,3,13,74,225,#N/A,#N/A,Lufkin,TX,"Lufkin, TX",75901,Oklahoma St.,113,73,Big 12,8/12/2000,1,2010,#N/A,#N/A,1.4,34,9.75,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Thurman Thomas,MIA,34,9,0,0,0,0,0,0,28,136,4.86,0,16,117,7.31,1,RB,31,,67,,70,200,#N/A,#N/A,Houston,TX,"Houston, TX",77001,Oklahoma St.,113,73,Big 12,5/16/1966,0,1988,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Keith Toston,JAX,25,6,1,0,0,0,0,0,17,74,4.35,0,3,41,13.67,0,RB,12,,121,,73,210,#N/A,#N/A,Angleton,TX,"Angleton, TX",77515,Oklahoma St.,113,73,Big 12,7/28/2000,0,0,0,4.66,0,32.75,9.25,22,32,110,4.67,0
2012,Justin Blackmon,JAX,22,16,14,0,0,0,0,0,2,23,11.5,0,64,865,13.52,5,WR,121,2,28,73,73,210,#N/A,#N/A,Oceanside,CA,"Oceanside, CA",92049,Oklahoma St.,113,73,Big 12,7/28/2000,1,2012,0,4.48,0,32.5,9.25,14,0,0,0,0
1999,Darnell McDonald,TAM,23,8,0,0,0,0,0,0,0,0,,0,9,96,10.67,1,WR,16,,110,,75,190,6,3,Fairfax,VA,"Fairfax, VA",22030,Kansas St.,118,71,Big 12,5/26/1976,7,1999,0,4.72,0,0,0,34,34,113,4.24,7.27
2011,Thomas Clayton,CLE,27,3,0,0,0,0,0,0,8,12,1.5,0,1,3,3,0,RB,2,,142,,12,225,5,10,Alexandria,VA,"Alexandria, VA",22301,Kansas St.,118,71,Big 12,4/26/1984,0,0,0,4.63,0,0,0,23,36.5,121,0,0
2012,Brandon Banks,WAS,25,12,0,0,0,0,0,0,7,36,5.14,0,8,15,1.88,0,WR,5,,157,,67,150,#N/A,#N/A,Garner,NC,"Garner, NC",27529,Kansas St.,118,71,Big 12,5/29/2000,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Daniel Thomas,MIA,25,12,0,0,0,0,0,0,91,325,3.57,4,15,156,10.4,0,RB,68,,47,,73,225,6,0,Hilliard,FL,"Hilliard, FL",32046,Kansas St.,118,71,Big 12,8/12/2000,2,2011,0,4.63,0,32.375,9,21,0,0,0,0
2004,Frank Murphy,TAM,27,3,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,157,,73,206,#N/A,#N/A,Jacksonville,FL,"Jacksonville, FL",32099,Kansas St.,118,71,Big 12,2/11/1977,6,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Yamon Figurs,2TM,27,2,0,0,0,0,0,0,1,-4,-4,0,2,17,8.5,0,WR,1,,165,,73,174,5,11,Fort Pierce,FL,"Fort Pierce, FL",34945,Kansas St.,118,71,Big 12,1/10/1983,3,2007,0,4.3,0,0,0,0,0,123,4.21,6.85
2012,Darren Sproles,NOR,29,13,6,0,0,0,0,0,48,244,5.08,1,75,667,8.89,7,RB,141,24,22,56,66,181,5,6,Waterloo,IA,"Waterloo, IA",50701,Kansas St.,118,71,Big 12,6/29/2000,4,2005,0,4.47,0,0,0,23,33,105,3.96,6.96
2012,Josh Freeman,TAM,24,16,16,306,558,4065,27,17,39,139,3.56,0,0,0,,0,QB,249,,13,,78,0,6,6,Kansas City,MO,"Kansas City, MO",64101,Kansas St.,118,71,Big 12,1/0/00,1,2009,27,4.9,0,0,0,0,33.5,119,4.43,7.11
2002,Justin Swift,SFO,27,16,4,0,0,0,0,0,0,0,,0,10,63,6.3,0,TE,6,,72,,75,265,6,4,Kansas City,KS,"Kansas City, KS",66101,Kansas St.,118,71,Big 12,8/14/1975,7,1999,0,4.81,0,0,0,33,33,111,4.15,6.93
2012,Jordy Nelson,GNB,27,12,10,0,0,0,0,0,0,0,,0,49,745,15.2,7,WR,119,,29,74,75,215,6,3,Manhattan,KS,"Manhattan, KS",66502,Kansas St.,118,71,Big 12,8/2/2000,2,2008,0,4.51,1.5,32.5,10,0,31,123,4.35,7.03
2012,Bryce Brown,PHI,21,16,4,0,0,0,0,0,115,564,4.9,4,13,56,4.31,0,RB,80,,42,,73,223,#N/A,#N/A,Wichita,KS,"Wichita, KS",67201,Kansas St.,118,71,Big 12,8/10/2000,7,2012,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Chris Harper,2TM,24,4,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,,218,,73,229,#N/A,#N/A,Wichita,KS,"Wichita, KS",67201,Kansas St.,118,71,Big 12,1/0/00,4,2013,33,4.55,1.55,32.75,9.75,20,35.5,116,4.39,6.89
2006,Josh Scobey,SEA,27,12,0,0,0,0,0,0,0,0,,0,0,0,,0,RB,,,172,,73,222,6,1,Oklahoma City,OK,"Oklahoma City, OK",73101,Kansas St.,118,71,Big 12,12/11/1979,6,2002,0,4.42,0,0,0,21,40.5,124,3.93,6.96
2003,Kevin Lockett,NYJ,29,3,0,0,0,0,0,0,0,0,,0,5,76,15.2,0,WR,8,,127,,73,186,#N/A,#N/A,Tulsa,OK,"Tulsa, OK",74101,Kansas St.,118,71,Big 12,9/8/1974,2,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
